	elbo	tsne_cost
279	1201.0638427734375	1745.656982421875
280	1116.1314697265625	1752.787353515625
281	1114.4244384765625	1758.412353515625
282	1182.725341796875	1765.202392578125
283	1181.4600830078125	1770.9359130859375
284	1219.377197265625	1777.585205078125
285	1211.5068359375	1784.2425537109375
286	1260.386474609375	1789.6236572265625
287	1296.3226318359375	1796.5726318359375
288	1210.2601318359375	1802.8612060546875
289	1239.7215576171875	1809.4747314453125
290	1112.3892822265625	1815.447021484375
291	1198.5670166015625	1821.552490234375
292	1235.239990234375	1827.372802734375
293	1147.723876953125	1833.0665283203125
294	1217.97802734375	1840.1343994140625
295	1211.3521728515625	1846.2646484375
296	1289.6112060546875	1853.640625
297	1174.944580078125	1858.17041015625
298	1229.1204833984375	1864.650390625
299	1259.866943359375	1871.847900390625
300	1295.8665771484375	1878.31201171875
301	1237.21728515625	1885.029052734375
302	1309.2978515625	1891.016845703125
303	1265.2459716796875	1896.5235595703125
304	1248.87890625	1902.9932861328125
305	1228.4012451171875	1909.3192138671875
306	1260.727294921875	1914.7469482421875
307	1260.94580078125	1921.3973388671875
308	1248.740478515625	1927.3397216796875
309	1214.4737548828125	1934.1978759765625
310	1240.0836181640625	1939.7431640625
311	1247.38623046875	1945.52001953125
312	1248.1849365234375	1952.5792236328125
313	1217.6971435546875	1959.029296875
314	1328.8193359375	1963.967041015625
315	1240.819091796875	1970.9122314453125
316	1195.5089111328125	1977.288818359375
317	1226.7427978515625	1983.2906494140625
318	1313.41162109375	1989.193115234375
319	1282.5677490234375	1996.1590576171875
320	1235.7886962890625	2002.5477294921875
321	1218.36474609375	2008.1787109375
322	1278.84912109375	2015.2667236328125
323	1265.7626953125	2021.329345703125
324	1256.990234375	2026.5977783203125
325	1317.54541015625	2032.5625
326	1289.575927734375	2039.7171630859375
327	1341.038818359375	2045.153564453125
328	1256.4326171875	2051.88525390625
329	1318.3687744140625	2058.41796875
330	1296.9056396484375	2064.7177734375
331	1271.723388671875	2070.582763671875
332	1371.1688232421875	2077.33251953125
333	1316.3868408203125	2082.88671875
334	1260.4307861328125	2090.0927734375
335	1282.1973876953125	2095.90185546875
336	1304.4290771484375	2100.89013671875
337	1319.868896484375	2107.83740234375
338	1319.373779296875	2114.044189453125
