	log_likelihood
1246	22.173347
1247	16.906033
1248	20.224237
1249	20.594217
1250	11.090306
1251	22.787851
1252	17.786327
1253	13.384466
1254	15.956418
1255	20.960075
1256	11.116115
1257	19.283772
1258	21.28062
1259	20.786978
1260	16.056147
1261	23.46199
1262	17.495457
1263	17.35612
1264	14.432999
1265	11.398218
1266	17.247196
1267	14.146067
1268	16.135778
1269	17.07077
1270	17.202023
1271	19.723566
1272	11.589288
1273	17.411001
1274	20.461239
1275	10.436069
1276	14.101374
1277	20.692932
1278	14.412186
1279	18.706324
1280	23.148401
1281	15.62034
1282	22.981632
1283	11.622343
1284	17.907976
1285	16.844278
1286	22.828403
1287	15.08448
1288	12.437212
1289	18.989834
1290	15.970889
1291	15.989017
1292	15.532419
1293	18.930677
1294	14.975543
1295	13.923433
1296	18.6391
1297	18.62444
1298	13.174123
1299	14.929591
1300	17.118444
1301	18.199934
1302	18.907965
1303	17.242502
1304	10.51044
1305	21.612814
1306	23.734348
1307	-0.49473763
1308	15.44356
1309	21.672625
1310	12.910914
1311	19.821352
1312	19.384195
1313	17.018133
1314	18.717321
1315	14.015538
1316	12.893849
1317	14.890767
1318	16.836979
1319	18.323702
1320	0.3599866
1321	22.70593
1322	17.761389
1323	18.040642
1324	21.145615
1325	17.921518
1326	21.629002
1327	17.647299
1328	15.650645
1329	19.012646
1330	13.144144
1331	22.523417
1332	20.200666
1333	15.506777
1334	15.790326
1335	13.53266
1336	10.228864
1337	16.285442
1338	19.38949
1339	15.993894
1340	22.733139
1341	20.339037
1342	12.530271
1343	22.166056
1344	15.707318
1345	16.919514
1346	14.990916
1347	20.91248
1348	20.958546
1349	15.91315
1350	7.8224654
1351	18.017563
1352	21.645071
1353	10.384619
1354	12.704275
1355	19.903095
1356	16.653164
1357	21.569668
1358	17.813103
1359	16.752525
1360	12.924126
1361	17.834082
1362	18.805225
1363	24.22699
1364	15.24393
1365	19.183268
1366	9.153417
1367	19.571672
1368	18.130814
1369	17.194546
1370	12.219313
1371	19.887558
1372	19.673937
1373	16.2314
1374	17.405565
1375	15.32509
1376	21.48289
1377	17.026333
1378	15.244066
1379	22.11374
1380	10.177401
1381	22.346416
1382	16.119543
